type,ad_group,match_type,text
negative,,phrase,free
negative,,phrase,pdf
negative,,phrase,jobs
negative,,phrase,job
negative,,phrase,immigration consultant
negative,,phrase,immigration lawyer
negative,,phrase,visa
negative,,phrase,work permit
negative,,phrase,crs calculator
negative,,phrase,score calculator
negative,,phrase,download
negative,,phrase,sample answers
negative,,phrase,salary
keyword,Writing - Email,phrase,english writing practice test canada
keyword,Writing - Email,phrase,english email writing practice
keyword,Writing - Email,exact,english writing test practice
keyword,Writing - Email,phrase,formal email writing practice
keyword,Writing - Email,phrase,practice writing an email in english
keyword,Writing - Email,phrase,english writing practice with feedback
headline,Writing - Email,,Timed Email Writing Practice
headline,Writing - Email,,Feedback on Every Email
headline,Writing - Email,,Practise English Emails
headline,Writing - Email,,Try One Writing Task Free
headline,Writing - Email,,Explanations in Korean Too
headline,Writing - Email,,Built for Adults in Canada
headline,Writing - Email,,See Your Top 3 Errors Fixed
headline,Writing - Email,,Model Rewrites of Your Email
headline,Writing - Email,,"No Subscription, One-Time Pass"
headline,Writing - Email,,Write Under a Real Timer
description,Writing - Email,,"Write a timed email, then get feedback on content, organisation, vocabulary and grammar."
description,Writing - Email,,"One free writing task, no account needed. Passes from C$39 with no auto-renewal."
description,Writing - Email,,Explanations in English or Korean. Available in Canada outside Quebec.
description,Writing - Email,,Independent practice tool. Not linked to any testing organisation.
final_url,Writing - Email,,https://YOUR-DOMAIN/practice/writing/email/?utm_source=google&utm_medium=cpc&utm_campaign=mpc-phase1&utm_content=writing-email
keyword,Writing - Survey,phrase,english survey writing practice
keyword,Writing - Survey,phrase,english opinion writing practice
keyword,Writing - Survey,exact,english survey response practice
keyword,Writing - Survey,phrase,english test writing practice canada
keyword,Writing - Survey,phrase,practice english writing test online
headline,Writing - Survey,,Survey Answer Writing Practice
headline,Writing - Survey,,"Pick a Side, Explain, Improve"
headline,Writing - Survey,,Feedback on Your Reasons
headline,Writing - Survey,,Try One Writing Task Free
headline,Writing - Survey,,Explanations in Korean Too
headline,Writing - Survey,,Timed Opinion Writing Tasks
headline,Writing - Survey,,See Your Top 3 Errors Fixed
headline,Writing - Survey,,"No Subscription, One-Time Pass"
description,Writing - Survey,,"Choose an option, argue it in 150-200 words, and get clear feedback on how to improve."
description,Writing - Survey,,"One free writing task, no account needed. Passes from C$39 with no auto-renewal."
description,Writing - Survey,,Explanations in English or Korean. Available in Canada outside Quebec.
description,Writing - Survey,,Independent practice tool. Not linked to any testing organisation.
final_url,Writing - Survey,,https://YOUR-DOMAIN/practice/writing/survey/?utm_source=google&utm_medium=cpc&utm_campaign=mpc-phase1&utm_content=writing-survey
keyword,Speaking,phrase,english speaking practice test canada
keyword,Speaking,phrase,english speaking practice online
keyword,Speaking,exact,english speaking test practice
keyword,Speaking,phrase,speaking practice with feedback
keyword,Speaking,phrase,practice english speaking tasks
headline,Speaking,,English Speaking Practice
headline,Speaking,,"Record, Then Read Feedback"
headline,Speaking,,8 Speaking Task Types
headline,Speaking,,Timed Prep and Answer Rounds
headline,Speaking,,Feedback From Your Transcript
headline,Speaking,,Explanations in Korean Too
headline,Speaking,,"No Subscription, One-Time Pass"
headline,Speaking,,Built for Adults in Canada
description,Speaking,,"Answer timed speaking prompts and get feedback on content, organisation and vocabulary."
description,Speaking,,Feedback uses a transcript of your answer. Pronunciation is not assessed.
description,Speaking,,"One free speaking task after email sign-up. Passes from C$39, no auto-renewal."
description,Speaking,,Explanations in English or Korean. Available in Canada outside Quebec.
final_url,Speaking,,https://YOUR-DOMAIN/practice/speaking/advice/?utm_source=google&utm_medium=cpc&utm_campaign=mpc-phase1&utm_content=speaking
